,,,,,,71,"SPBU Shell Jl. Kenjeran No.591, Kalijudan",Link,,,,
,,,,,,72,SPBU Shell Jl. Kalijudan No. 24,Link,,,,
,,,,,,73,SPBU Shell Jl. Raya Kertajaya Indah No. 143,Link,,,,
,,,,,,74,"SPBU Shell MERR, 291",Link,,,,
,,,,,,75,SPBU Shell Raya Tenggilis-1,Link,,,,
,,,,,,76,SPBU Shell - Margorejo,Link,,,,
,,,,,,77,SPBU Shell Jl. Raya Prapen No.50,Link,,,,
,,,,,,78,SPBU Shell Jl.Raya Jemursari,Link,,,,
,,,,,,79,"SPBU Shell Mastrip - Kedurus, Karangpilang",Link,,,,
,,,,,,80,SPBU Shell Jl. Mayjend. Jonosewojo,Link,,,,
,,,,,,81,SPBU Shell Citraland - Mayor Jenderal Sungkono,Link,,,,
,,,,,,82,"SPBU Shell Jl. Diponegoro, DR. Soetomo",Link,,,,
,,,,,,83,SPBU Shell Jl. Simo Magersari No. 62,Link,,,,
,,,,,,84,SPBU Shell Jl. Raya Dupak,Link,,,,
,,,,,,85,SPBU Shell - Pemuda Central-1,Link,,,,
